ESPE,ESPE_rc,YEAR,source,FCC,Ocu1,tile_name,coastal_spring,blue_spring,green_spring,red_spring,nir_spring,swir1_spring,swir2_spring,coastal_summer,blue_summer,green_summer,red_summer,nir_summer,swir1_summer,swir2_summer,coastal_summerlong,blue_summerlong,green_summerlong,red_summerlong,nir_summerlong,swir1_summerlong,swir2_summerlong,aspect,dem,shadow,slope,acibasi
2.0,2,1999.0,Digitized,,,p10,124.0,152.0,356.5,339.5,1684.0,1157.5,623.0,220.0,229.8,418.8,335.2,2068.4,1135.2,600.4,220.0,229.8,418.8,335.2,2068.4,1135.2,600.4,339.5423278808594,1028.0,145.0,11.056512832641602,1.0
2.0,2,1999.0,Digitized,,,p10,114.0,151.0,388.0,380.5,1794.5,1183.0,671.5,211.4,238.4,480.0,366.2,2234.8,1126.4,571.2,211.4,238.4,480.0,366.2,2234.8,1126.4,571.2,280.3843994140625,988.0,160.0,19.184619903564453,1.0
2.0,2,1999.0,Digitized,,,p10,136.0,175.0,412.5,414.0,1836.0,1325.0,751.0,234.0,246.6,440.6,316.6,2361.2,1248.4,582.8,234.0,246.6,440.6,316.6,2361.2,1248.4,582.8,344.6420593261719,985.0,141.0,11.90943431854248,1.0
2.0,2,2009.0,Digitized,,,p11_1,64.5,54.5,233.0,137.0,1806.5,639.5,333.0,166.0,172.0,420.0,273.0,2508.0,889.0,451.0,166.0,172.0,420.0,273.0,2508.0,889.0,451.0,84.02989959716797,799.0,163.0,20.43292999267578,1.0
2.0,2,2009.0,Digitized,,,p11_1,,,,,,,,680.0,738.0,895.0,766.5,2045.5,1173.5,615.0,680.0,738.0,895.0,766.5,2045.5,1173.5,615.0,337.2232971191406,771.0,75.0,29.951345443725586,1.0
2.0,2,2009.0,Digitized,,,p11_1,83.5,75.0,224.0,164.5,1890.0,673.0,331.5,187.0,192.0,394.0,266.0,2271.0,878.0,404.0,187.0,192.0,394.0,266.0,2271.0,878.0,404.0,-27.813644409179688,739.0,141.0,11.521583557128906,1.0
2.0,2,2009.0,Digitized,,,p11_1,89.0,86.0,301.0,203.0,1891.0,831.0,481.0,332.5,339.0,444.0,358.0,1697.0,699.5,295.5,332.5,339.0,444.0,358.0,1697.0,699.5,295.5,345.3662109375,812.0,109.0,19.835796356201172,1.0
2.0,2,2009.0,Digitized,,,p11_1,115.0,125.0,404.0,198.0,2199.5,1033.5,629.0,215.0,233.0,448.0,362.0,2347.0,1159.0,518.0,215.0,233.0,448.0,362.0,2347.0,1159.0,518.0,391.0743103027344,791.0,43.0,35.641719818115234,1.0
2.0,2,2009.0,Digitized,,,p11_1,125.0,112.0,267.0,268.0,1804.0,841.0,448.0,213.0,234.0,476.0,346.0,2101.0,984.0,541.0,213.0,234.0,476.0,346.0,2101.0,984.0,541.0,345.36822509765625,803.0,83.0,26.06861114501953,1.0
2.0,2,2009.0,Digitized,,,p11_1,124.0,123.0,293.0,233.0,2073.0,852.0,375.0,323.0,322.66666,439.33334,315.66666,1893.6666,744.6667,333.66666,323.0,322.66666,439.33334,315.66666,1893.6666,744.6667,333.66666,9.826038360595703,775.0,98.0,22.896726608276367,1.0
2.0,2,2009.0,Digitized,,,p11_1,143.0,131.0,286.0,224.0,2141.0,745.0,336.0,1155.0,1220.0,1345.0,1235.5,2503.0,1772.5,1213.5,1155.0,1220.0,1345.0,1235.5,2503.0,1772.5,1213.5,266.8441467285156,1042.0,173.0,19.730785369873047,1.0
2.0,2,2009.0,Digitized,,,p11_1,120.0,140.0,380.5,344.5,1871.5,1174.0,656.5,250.0,265.0,489.0,378.0,2591.0,1289.0,600.0,250.0,265.0,489.0,378.0,2591.0,1289.0,600.0,341.697021484375,821.0,134.0,13.854894638061523,1.0
