model,metric,label_code,data,pipe_name,pred_id
rf,overall_accuracy,,0.646188850967008,smote_tomeklinks,manual_ndvi_3
rf,balanced_accuracy,,0.70399848041321,smote_tomeklinks,manual_ndvi_3
rf,kappa,,0.5964449470181664,smote_tomeklinks,manual_ndvi_3
rf,producer_acc,1.0,0.7696078431372549,smote_tomeklinks,manual_ndvi_3
rf,producer_acc,2.0,0.3033707865168539,smote_tomeklinks,manual_ndvi_3
rf,producer_acc,3.0,0.7560975609756098,smote_tomeklinks,manual_ndvi_3
rf,producer_acc,4.0,0.5909090909090908,smote_tomeklinks,manual_ndvi_3
rf,producer_acc,6.0,0.44680851063829785,smote_tomeklinks,manual_ndvi_3
rf,producer_acc,7.0,0.23364485981308414,smote_tomeklinks,manual_ndvi_3
rf,producer_acc,11.0,0.8095238095238095,smote_tomeklinks,manual_ndvi_3
rf,producer_acc,12.0,0.84,smote_tomeklinks,manual_ndvi_3
rf,producer_acc,13.0,0.8235294117647058,smote_tomeklinks,manual_ndvi_3
rf,producer_acc,14.0,0.75,smote_tomeklinks,manual_ndvi_3
rf,producer_acc,16.0,0.875,smote_tomeklinks,manual_ndvi_3
rf,producer_acc,17.0,1.0,smote_tomeklinks,manual_ndvi_3
rf,producer_acc,20.0,0.9534883720930233,smote_tomeklinks,manual_ndvi_3
rf,user_acc,1.0,0.7511961722488039,smote_tomeklinks,manual_ndvi_3
rf,user_acc,2.0,0.421875,smote_tomeklinks,manual_ndvi_3
rf,user_acc,3.0,0.4246575342465754,smote_tomeklinks,manual_ndvi_3
rf,user_acc,4.0,0.7222222222222222,smote_tomeklinks,manual_ndvi_3
rf,user_acc,6.0,0.4772727272727273,smote_tomeklinks,manual_ndvi_3
rf,user_acc,7.0,0.4901960784313726,smote_tomeklinks,manual_ndvi_3
rf,user_acc,11.0,0.4473684210526315,smote_tomeklinks,manual_ndvi_3
rf,user_acc,12.0,0.5675675675675675,smote_tomeklinks,manual_ndvi_3
rf,user_acc,13.0,0.736842105263158,smote_tomeklinks,manual_ndvi_3
rf,user_acc,14.0,0.5217391304347826,smote_tomeklinks,manual_ndvi_3
rf,user_acc,16.0,0.4375,smote_tomeklinks,manual_ndvi_3
rf,user_acc,17.0,0.45833333333333337,smote_tomeklinks,manual_ndvi_3
rf,user_acc,20.0,0.9685039370078741,smote_tomeklinks,manual_ndvi_3
svm,overall_accuracy,,0.5847554038680318,smote_tomeklinks,manual_ndvi_3
svm,balanced_accuracy,,0.5997714590790597,smote_tomeklinks,manual_ndvi_3
svm,kappa,,0.5288524373499373,smote_tomeklinks,manual_ndvi_3
svm,producer_acc,1.0,0.7401960784313726,smote_tomeklinks,manual_ndvi_3
svm,producer_acc,2.0,0.1348314606741573,smote_tomeklinks,manual_ndvi_3
svm,producer_acc,3.0,0.7560975609756098,smote_tomeklinks,manual_ndvi_3
svm,producer_acc,4.0,0.5681818181818181,smote_tomeklinks,manual_ndvi_3
svm,producer_acc,6.0,0.42553191489361697,smote_tomeklinks,manual_ndvi_3
svm,producer_acc,7.0,0.16822429906542058,smote_tomeklinks,manual_ndvi_3
svm,producer_acc,11.0,0.47619047619047616,smote_tomeklinks,manual_ndvi_3
svm,producer_acc,12.0,0.8,smote_tomeklinks,manual_ndvi_3
svm,producer_acc,13.0,0.8235294117647058,smote_tomeklinks,manual_ndvi_3
svm,producer_acc,14.0,0.5416666666666667,smote_tomeklinks,manual_ndvi_3
svm,producer_acc,16.0,0.5,smote_tomeklinks,manual_ndvi_3
svm,producer_acc,17.0,0.9090909090909091,smote_tomeklinks,manual_ndvi_3
svm,producer_acc,20.0,0.9534883720930233,smote_tomeklinks,manual_ndvi_3
svm,user_acc,1.0,0.7330097087378641,smote_tomeklinks,manual_ndvi_3
svm,user_acc,2.0,0.25,smote_tomeklinks,manual_ndvi_3
svm,user_acc,3.0,0.36046511627906974,smote_tomeklinks,manual_ndvi_3
svm,user_acc,4.0,0.7281553398058253,smote_tomeklinks,manual_ndvi_3
svm,user_acc,6.0,0.47619047619047616,smote_tomeklinks,manual_ndvi_3
svm,user_acc,7.0,0.44999999999999996,smote_tomeklinks,manual_ndvi_3
svm,user_acc,11.0,0.2222222222222222,smote_tomeklinks,manual_ndvi_3
svm,user_acc,12.0,0.47619047619047616,smote_tomeklinks,manual_ndvi_3
svm,user_acc,13.0,0.7777777777777778,smote_tomeklinks,manual_ndvi_3
svm,user_acc,14.0,0.44067796610169496,smote_tomeklinks,manual_ndvi_3
svm,user_acc,16.0,0.13793103448275867,smote_tomeklinks,manual_ndvi_3
svm,user_acc,17.0,0.2857142857142857,smote_tomeklinks,manual_ndvi_3
svm,user_acc,20.0,0.9761904761904762,smote_tomeklinks,manual_ndvi_3
rf,overall_accuracy,,0.6200227531285551,smote_random,manual_ndvi_3
rf,balanced_accuracy,,0.7097077274971363,smote_random,manual_ndvi_3
rf,kappa,,0.5711004952447736,smote_random,manual_ndvi_3
rf,producer_acc,1.0,0.6666666666666667,smote_random,manual_ndvi_3
rf,producer_acc,2.0,0.2584269662921348,smote_random,manual_ndvi_3
rf,producer_acc,3.0,0.8292682926829268,smote_random,manual_ndvi_3
rf,producer_acc,4.0,0.5681818181818181,smote_random,manual_ndvi_3
rf,producer_acc,6.0,0.46808510638297873,smote_random,manual_ndvi_3
rf,producer_acc,7.0,0.23364485981308414,smote_random,manual_ndvi_3
rf,producer_acc,11.0,0.9047619047619048,smote_random,manual_ndvi_3
